service_key,organization_key,branch_key,service_id,service_name,service_description,service_details,service_payment_required,service_payment_details,service_urls,service_phone_numbers,service_email_address,service_implements,service_situations,service_responses,service_boost,data_sources,organization_id,organization_name,organization_short_name,organization_description,organization_purpose,organization_kind,organization_urls,organization_phone_numbers,organization_email_address,organization_branch_count,organization_situations,branch_id,branch_name,branch_operating_unit,branch_description,branch_urls,branch_phone_numbers,branch_email_address,branch_address,branch_orig_address,branch_city,branch_geometry,branch_location_accurate,branch_situations,service_last_modified,national_service
rec2CtbFcsCUqPzYS,recxYaTeLHK6YmZN3,bedd9f32,soproc:yy-vts-vtypvl-bmshpkhvt-mmtsvt,ייעוץ וטיפול במשפחות מאמצות,"מתן שירותי ייעוץ וטיפול רגשי למשפחות מאמצות, מאומצים ומשפחות ביולגיות לאחר פתיחת תיק אימוץ בצמתים משמעותיים עבורם. כולל אפשרות סבסוד הטיפול.",,,,,"[""118""]",,,"[""human_situations:household:families:adoption"", ""human_situations:role:family_caregivers"", ""human_situations:age_group:children"", ""human_situations:age_group:teens"", ""human_situations:age_group:infants""]","[""human_services:care:adoption_foster_care"", ""human_services:health:mental_health_care:counseling"", ""human_services:care:guidance"", ""human_services:money:financial_assistance"", ""human_services:education:skills_training:parenting_education""]",0,"[""<a href=\""https://www.socialpro.org.il/i/activities/gov_social_service/yy-vts-vtypvl-bmshpkhvt-mmtsvt\"" target=\""_blank\"">דף השירות ב״מפתח לרכש החברתי״</a>""]",580056539,ת.ל.מ. - תחנות הקיבוצים לטפול בילד ובמשפחה,,,,עמותה,,[],ola@amalgroup.co.il,3,,guidestar:580056539,ת.ל.מ. - תחנות הקיבוצים לטפול בילד ובמשפחה,,,,[],,"תרשיש פארק התעשייה 5, קיסריה","תרשיש-פארק התעשייה, 5, קיסריה, 3088900",קיסריה,"34.9470022, 32.4841974",True,,2025-09-30T01:07:04,False
rec2CtbFcsCUqPzYS,recvvm21ekyht09Qh,0be5cfb4,soproc:yy-vts-vtypvl-bmshpkhvt-mmtsvt,ייעוץ וטיפול במשפחות מאמצות,"מתן שירותי ייעוץ וטיפול רגשי למשפחות מאמצות, מאומצים ומשפחות ביולגיות לאחר פתיחת תיק אימוץ בצמתים משמעותיים עבורם. כולל אפשרות סבסוד הטיפול.",,,,,"[""118""]",,,"[""human_situations:household:families:adoption"", ""human_situations:role:family_caregivers"", ""human_situations:age_group:children"", ""human_situations:age_group:teens"", ""human_situations:age_group:infants""]","[""human_services:care:adoption_foster_care"", ""human_services:health:mental_health_care:counseling"", ""human_services:care:guidance"", ""human_services:money:financial_assistance"", ""human_services:education:skills_training:parenting_education""]",0,"[""<a href=\""https://www.socialpro.org.il/i/activities/gov_social_service/yy-vts-vtypvl-bmshpkhvt-mmtsvt\"" target=\""_blank\"">דף השירות ב״מפתח לרכש החברתי״</a>""]",580308781,בית חם תורה עם דרך ארץ,,,,עמותה,"[{""href"": ""https://www.bayit-cham.org.il/"", ""title"": ""אתר הבית""}]","[""1-599-510550""]",hana@bayit-cham.org.il,8,,national:580308781,,,"שימו לב, ייתכן כי המיקום המוצג אינו מדויק וכי קיימים סניפים נוספים שבהם ניתן לקבל את השירות. מומלץ ליצור קשר ישירות עם הארגון לקבלת מידע מדויק ומעודכן.",,[],,שירות ארצי,שירות ארצי,,,False,,2025-09-30T01:07:04,True
rec5dFCx0FzA3XDNu,recZ6ovc3LF7ngw1f,dcde635e,soproc:msgrvt-khvts-bytyvt-lgyl-hrk,מסגרות חוץ ביתיות לגיל הרך,מסגרות חוץ ביתית פנימייתית לגילאי 0-8 הכנה לאימוץ/אומנה/ פנימיה.,,,,,"[""118""]",,,"[""human_situations:age_group:children"", ""human_situations:age_group:infants"", ""human_situations:household:families:adoption"", ""human_situations:household:families:foster_caregivers"", ""human_situations:deprivation:at_risk:at_risk_children""]","[""human_services:care:adoption_foster_care"", ""human_services:education:boarding_school""]",0,"[""<a href=\""https://www.socialpro.org.il/i/activities/gov_social_service/msgrvt-khvts-bytyvt-lgyl-hrk\"" target=\""_blank\"">דף השירות ב״מפתח לרכש החברתי״</a>""]",580057321,ויצו - הסתדרות עולמית לנשים ציוניות,"ויצ""ו",,,עמותה,"[{""href"": ""https://www.wizo.org.il/"", ""title"": ""אתר הבית""}]","[""0""]",gality@wizo.org,171,,national:580057321,,,"שימו לב, ייתכן כי המיקום המוצג אינו מדויק וכי קיימים סניפים נוספים שבהם ניתן לקבל את השירות. מומלץ ליצור קשר ישירות עם הארגון לקבלת מידע מדויק ומעודכן.",,[],,שירות ארצי,שירות ארצי,,,False,,2025-11-09T09:59:12,True
rec5dFCx0FzA3XDNu,reciwtKCgAcWzxAQl,d29f2626,soproc:msgrvt-khvts-bytyvt-lgyl-hrk,מסגרות חוץ ביתיות לגיל הרך,מסגרות חוץ ביתית פנימייתית לגילאי 0-8 הכנה לאימוץ/אומנה/ פנימיה.,,,,,"[""118""]",,,"[""human_situations:age_group:children"", ""human_situations:age_group:infants"", ""human_situations:household:families:adoption"", ""human_situations:household:families:foster_caregivers"", ""human_situations:deprivation:at_risk:at_risk_children""]","[""human_services:care:adoption_foster_care"", ""human_services:education:boarding_school""]",0,"[""<a href=\""https://www.socialpro.org.il/i/activities/gov_social_service/msgrvt-khvts-bytyvt-lgyl-hrk\"" target=\""_blank\"">דף השירות ב״מפתח לרכש החברתי״</a>""]",580070704,בית לכל ילד בישראל,,,,עמותה,"[{""href"": ""http://www.baityeled.org.il/index.php"", ""title"": ""אתר הבית""}]","[""0""]",yigal@bily.org.il,13,,national:580070704,,,"שימו לב, ייתכן כי המיקום המוצג אינו מדויק וכי קיימים סניפים נוספים שבהם ניתן לקבל את השירות. מומלץ ליצור קשר ישירות עם הארגון לקבלת מידע מדויק ומעודכן.",,[],,שירות ארצי,שירות ארצי,,,False,,2025-11-09T09:59:12,True
recbHg41PD4EbLzzA,reciG7s7QkEklWxu5,804b2749,soproc:mrkzy-syv-lmshpkhvt-shkvlvt-qb-htbdvt-tvnvt-drkym-v-byrvt-hmth,"מרכזי סיוע למשפחות שכולות עקב התאבדות, תאונות דרכים או עבירות המתה","סיוע למשפחות נפגעות התאבדות, תאונות דרכים או עבירות המתה במיצוי זכויותיהן לסיוע.",,no,,,"[""118""]",,,"[""human_situations:armed_forces:bereaved_families"", ""human_situations:survivors:car_accidents_survivors"", ""human_situations:survivors:trauma_survivors""]","[""human_services:care:aid_center"", ""human_services:legal:advocacy_legal_aid:understand_government_programs""]",0,"[""<a href=\""https://www.socialpro.org.il/i/activities/gov_social_service/mrkzy-syv-lmshpkhvt-shkvlvt-qb-htbdvt-tvnvt-drkym-v-byrvt-hmth\"" target=\""_blank\"">דף השירות ב״מפתח לרכש החברתי״</a>""]",580040947,מרכז אלה להתמודדות נפשית עם אבדן,,,"העמותה, כחלק בלתי נפרד מהחברה הישראלית שמה לה, בין היתר, למטרה לסייע בתחום התמחותה  ונסיונה המיוחד לגורמים מחוץ לקבוצת היעד, ובפרט במתן טיפול נפשי לאנשים שחוו אבדן, שכול, טראומה ומשברי חיים, מכל קשת החברה הישראלית",עמותה,"[{""href"": ""http://www.elah.org.il"", ""title"": ""אתר הבית""}, {""href"": ""https://www.elah.org.il/"", ""title"": ""אתר הבית""}]","[""03-691-0921""]",elah@elah.org.il,11,,national:580040947,,,"שימו לב, ייתכן כי המיקום המוצג אינו מדויק וכי קיימים סניפים נוספים שבהם ניתן לקבל את השירות. מומלץ ליצור קשר ישירות עם הארגון לקבלת מידע מדויק ומעודכן.",,[],,שירות ארצי,שירות ארצי,,,False,,2024-10-09T11:15:43,True
recbHg41PD4EbLzzA,recQGyL4z1j1g8hxN,1606a23d,soproc:mrkzy-syv-lmshpkhvt-shkvlvt-qb-htbdvt-tvnvt-drkym-v-byrvt-hmth,"מרכזי סיוע למשפחות שכולות עקב התאבדות, תאונות דרכים או עבירות המתה","סיוע למשפחות נפגעות התאבדות, תאונות דרכים או עבירות המתה במיצוי זכויותיהן לסיוע.",,no,,,"[""118""]",,,"[""human_situations:armed_forces:bereaved_families"", ""human_situations:survivors:car_accidents_survivors"", ""human_situations:survivors:trauma_survivors""]","[""human_services:care:aid_center"", ""human_services:legal:advocacy_legal_aid:understand_government_programs""]",0,"[""<a href=\""https://www.socialpro.org.il/i/activities/gov_social_service/mrkzy-syv-lmshpkhvt-shkvlvt-qb-htbdvt-tvnvt-drkym-v-byrvt-hmth\"" target=\""_blank\"">דף השירות ב״מפתח לרכש החברתי״</a>""]",580357911,בשביל החיים,,,,עמותה,"[{""href"": ""http://www.path-to-life.org"", ""title"": ""אתר הבית""}]","[""03-964-0222""]",rakezet@bishvil-hahayim.com,3,,guidestar:580357911,בשביל החיים,,,,[],,"אבן גבירול 24, תל אביב-יפו","אבן גבירול, 24, תל אביב - יפו, 6473503",תל אביב,"34.78193076892796, 32.074090874519236",True,,2024-10-09T11:15:43,False
recI26kLbvVbMNiXB,recs0O16uYSwhRMsD,e08f8fc4,soproc:mrkzy-hhgnh-lyldym-vlnv-r,מרכזי ההגנה לילדים ולנוער,"מרכזי הגנה מעניקים סיוע ראשוני, ומאגדים תחת קורת גג אחת את כל גורמי המקצוע הרלוונטיים לקטינים נפגעי עבירות מין או אלימות ולהוריהם: גורמי הערכה, אבחון, חקירה וטיפול.",,no,,,"[""118""]",ramatgan@hagana.org.il,,"[""human_situations:age_group:children"", ""human_situations:survivors:violence_survivors"", ""human_situations:age_group:teens"", ""human_situations:survivors:violence_survivors:sexual_assault_survivors"", ""human_situations:household:families:parents""]","[""human_services:care:aid_center"", ""human_services:care:early_childhood_intervention"", ""human_services:health:mental_health_care:counseling"", ""human_services:emergency""]",0,"[""<a href=\""https://www.socialpro.org.il/i/activities/gov_social_service/mrkzy-hhgnh-lyldym-vlnv-r\"" target=\""_blank\"">דף השירות ב״מפתח לרכש החברתי״</a>""]",580068997,אפשר- עמותה לפיתוח שירותי רווחה וחינוך,,,,עמותה,,[],,2,,meser-b-206301,,,,,"[""04-987-3134""]",,כיסרא-סמיע,כסרא-סמיע,כיסרא סומיע,"35.30537507566955, 32.962760376271284",False,,2026-01-04T12:52:40,False
recYKIbbgJ4TX7ks4,recNoH4cmkpMbbKCU,dbd39ceb,soproc:vmnh,אומנה,משפחת אומנה היא מסגרת טיפולית שמטרתה לספק לילדים בית חם ואווירה משפחתית וטיפולית.,,sometimes,,,"[""118""]",,,"[""human_situations:age_group:children"", ""human_situations:household:families:foster_caregivers"", ""human_situations:age_group:teens"", ""human_situations:age_group:infants""]","[""human_services:care:adoption_foster_care""]",0,"[""<a href=\""https://www.socialpro.org.il/i/activities/gov_social_service/vmnh\"" target=\""_blank\"">דף השירות ב״מפתח לרכש החברתי״</a>""]",510852981,"אור שלום- למען ילדים ונוער בסיכון בע""מ",,,לעסוק בסוגי עיסוק שפורטו בתקנון,"חל""צ","[{""href"": ""http://www.orr-shalom.org.il/"", ""title"": ""אתר הבית""}]","[""02-993-6900"", ""02-993-6902""]",mazalic@orr-shalom.co.il,11,,national:510852981,,,"שימו לב, ייתכן כי המיקום המוצג אינו מדויק וכי קיימים סניפים נוספים שבהם ניתן לקבל את השירות. מומלץ ליצור קשר ישירות עם הארגון לקבלת מידע מדויק ומעודכן.",,[],,שירות ארצי,שירות ארצי,,,False,,2025-09-30T01:07:37,True
recYKIbbgJ4TX7ks4,recufIuLlcVNxbtyj,e59800a0,soproc:vmnh,אומנה,משפחת אומנה היא מסגרת טיפולית שמטרתה לספק לילדים בית חם ואווירה משפחתית וטיפולית.,,sometimes,,,"[""118""]",,,"[""human_situations:age_group:children"", ""human_situations:household:families:foster_caregivers"", ""human_situations:age_group:teens"", ""human_situations:age_group:infants""]","[""human_services:care:adoption_foster_care""]",0,"[""<a href=\""https://www.socialpro.org.il/i/activities/gov_social_service/vmnh\"" target=\""_blank\"">דף השירות ב״מפתח לרכש החברתי״</a>""]",512593617,א.ד.נ.מ. בע״מ,,,לעסוק בסוגי עיסוק שפורטו בתקנון,חברה פרטית,"[{""href"": ""https://www.ednm.org.il/"", ""title"": ""אתר הבית""}]","[""04-870-2626""]",,40,,national:512593617,,,"שימו לב, ייתכן כי המיקום המוצג אינו מדויק וכי קיימים סניפים נוספים שבהם ניתן לקבל את השירות. מומלץ ליצור קשר ישירות עם הארגון לקבלת מידע מדויק ומעודכן.",,[],,שירות ארצי,שירות ארצי,,,False,,2025-09-30T01:07:37,True
recYKIbbgJ4TX7ks4,recqAY2R4TaFA1Kuc,57a7bc58,soproc:vmnh,אומנה,משפחת אומנה היא מסגרת טיפולית שמטרתה לספק לילדים בית חם ואווירה משפחתית וטיפולית.,,sometimes,,,"[""118""]",,,"[""human_situations:age_group:children"", ""human_situations:household:families:foster_caregivers"", ""human_situations:age_group:teens"", ""human_situations:age_group:infants""]","[""human_services:care:adoption_foster_care""]",0,"[""<a href=\""https://www.socialpro.org.il/i/activities/gov_social_service/vmnh\"" target=\""_blank\"">דף השירות ב״מפתח לרכש החברתי״</a>""]",580041051,מטב עמותה לשרותי טיפול ורווחה,,,,עמותה,"[{""href"": ""https://www.matav.org.il/"", ""title"": ""קישור""}]","[""050-829-6451""]",guyt@matav.org.il,78,,national:580041051,,,"שימו לב, ייתכן כי המיקום המוצג אינו מדויק וכי קיימים סניפים נוספים שבהם ניתן לקבל את השירות. מומלץ ליצור קשר ישירות עם הארגון לקבלת מידע מדויק ומעודכן.",,[],,שירות ארצי,שירות ארצי,,,False,,2025-09-30T01:07:37,True
