id,data
revaha:1000000,"{""name"": """", ""phone_numbers"": ""08-6367106\n08-6367891\n08-6367892"", ""urls"": ""https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים"", ""email_address"": ""frida@eilat.muni.il"", ""address"": ""מרכז רסקו, אילות 29, ת\""ד 14 אגף הרווחה, אילת 88000"", ""location"": ""מרכז רסקו, אילות 29, ת\""ד 14 אגף הרווחה, אילת 88000"", ""organization"": [""500106406""], ""operating_unit"": ""מחלקת רווחה"", ""services"": [""revaha-noshmim"", ""revaha-otzma"", ""revaha-aid"", ""revaha-seniors"", ""revaha-disabilities""]}"
revaha:1020000,"{""name"": """", ""phone_numbers"": ""08-6463826\n08-6463000\n08-6840317\n08-6840318"", ""urls"": ""https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים"", ""email_address"": ""tehilaro@br7.org.il"", ""address"": ""זלמן שניאור 10  (בית ספר יעלים לשעבר) באר שבע 84341"", ""location"": ""זלמן שניאור 10  (בית ספר יעלים לשעבר) באר שבע 84341"", ""organization"": [""500106406""], ""operating_unit"": ""מחלקת רווחה"", ""services"": [""revaha-otzma"", ""revaha-aid"", ""revaha-seniors"", ""revaha-disabilities"", ""revaha-noshmim""]}"
revaha:1020010,"{""name"": """", ""phone_numbers"": ""08-6840317\n08-6206301"", ""urls"": ""https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים"", ""email_address"": ""lilachs@br7.org.il"", ""address"": ""הנרייטה סולד 8 ב' קומות 6-7, רסקו סיטי, ת\""ד 15 עיריית באר שבע"", ""location"": ""הנרייטה סולד 8 ב' קומות 6-7, רסקו סיטי, ת\""ד 15 עיריית באר שבע"", ""organization"": [""500106406""], ""operating_unit"": ""מחלקת רווחה"", ""services"": [""revaha-noshmim"", ""revaha-otzma"", ""revaha-aid"", ""revaha-seniors"", ""revaha-disabilities""]}"
revaha:1020020,"{""name"": """", ""phone_numbers"": ""08-6840318\n08-6206453"", ""urls"": ""https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים"", ""email_address"": ""AvrahamB@br7.org.il"", ""address"": ""דוד המלך 10, באר-שבע 84539, ת\""ד 15 עיריית באר שבע"", ""location"": ""דוד המלך 10, באר-שבע 84539, ת\""ד 15 עיריית באר שבע"", ""organization"": [""500106406""], ""operating_unit"": ""מחלקת רווחה"", ""services"": [""revaha-noshmim"", ""revaha-otzma"", ""revaha-aid"", ""revaha-seniors"", ""revaha-disabilities""]}"
revaha:1050000,"{""name"": """", ""phone_numbers"": ""08-6563108\n073-2756180\n08-6563108"", ""urls"": ""https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים"", ""email_address"": ""nehama@Dimona.muni.il"", ""address"": ""שדרות הנשיא, ת\""ד 1, דימונה  86000"", ""location"": ""שדרות הנשיא, ת\""ד 1, דימונה  86000"", ""organization"": [""500106406""], ""operating_unit"": ""מחלקת רווחה"", ""services"": [""revaha-noshmim"", ""revaha-otzma"", ""revaha-aid"", ""revaha-seniors"", ""revaha-disabilities""]}"
revaha:1050010,"{""name"": """", ""phone_numbers"": ""08-6563108\n08-6563238"", ""urls"": ""https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים"", ""email_address"": ""simhakam@Dimona.muni.il"", ""address"": ""עיינות 1, דימונה  86000"", ""location"": ""עיינות 1, דימונה  86000"", ""organization"": [""500106406""], ""operating_unit"": ""מחלקת רווחה"", ""services"": [""revaha-aid"", ""revaha-seniors"", ""revaha-disabilities"", ""revaha-noshmim"", ""revaha-otzma""]}"
revaha:1050020,"{""name"": """", ""phone_numbers"": ""08-6563108\n08-6563162"", ""urls"": ""https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים"", ""email_address"": ""simhakam@gmail.com"", ""address"": ""שאול המלך 2, דימונה  86000 "", ""location"": ""שאול המלך 2, דימונה  86000 "", ""organization"": [""500106406""], ""operating_unit"": ""מחלקת רווחה"", ""services"": [""revaha-aid"", ""revaha-seniors"", ""revaha-disabilities"", ""revaha-noshmim"", ""revaha-otzma""]}"
revaha:1060000,"{""name"": """", ""phone_numbers"": ""08-6874511\n08-6874687\n08-6874651"", ""urls"": ""https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים"", ""email_address"": ""ronitz@qiryat-gat.muni.il"", ""address"": ""הזית 42, קרית גת  82000"", ""location"": ""הזית 42, קרית גת  82000"", ""organization"": [""500106406""], ""operating_unit"": ""מחלקת רווחה"", ""services"": [""revaha-noshmim"", ""revaha-otzma"", ""revaha-aid"", ""revaha-seniors"", ""revaha-disabilities""]}"
revaha:1200000,"{""name"": """", ""phone_numbers"": ""08-9928555\n08-9928500"", ""urls"": ""https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים"", ""email_address"": ""SuzyM@ofaqim.muni.ill"", ""address"": ""יהודה הלוי 18 ת\""ד 1, אופקים  80300"", ""location"": ""יהודה הלוי 18 ת\""ד 1, אופקים  80300"", ""organization"": [""500106406""], ""operating_unit"": ""מחלקת רווחה"", ""services"": [""revaha-noshmim"", ""revaha-otzma"", ""revaha-aid"", ""revaha-seniors"", ""revaha-disabilities""]}"
revaha:1230000,"{""name"": """", ""phone_numbers"": ""08-6598222\n08-6580697"", ""urls"": ""https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים"", ""email_address"": ""yaakovy@ylc.org.il"", ""address"": ""מועצה מקומית ת\""ד1, בוכריס כדיר, ירוחם  80500"", ""location"": ""מועצה מקומית ת\""ד1, בוכריס כדיר, ירוחם  80500"", ""organization"": [""500106406""], ""operating_unit"": ""מחלקת רווחה"", ""services"": [""revaha-noshmim"", ""revaha-otzma"", ""revaha-aid"", ""revaha-seniors"", ""revaha-disabilities""]}"
