__airtable_id,id,decision,reason,decision date,source,status,name,organization,operating_unit,location,address,address_details,description,phone_numbers,email_address,urls,manual_url,situations,services,fixes,org_services,org_url,org_email,org_phone,x_org_name,last_modified,x_temp,_current_hash
recsB2QORDX5jec2a,revaha:1000000,New,,2023-09-29T00:04:37,revaha,ACTIVE,,"[""recwLkZjOQwyBl2RW""]",מחלקת רווחה,"מרכז רסקו, אילות 29, ת""ד 14 אגף הרווחה, אילת 88000","מרכז רסקו, אילות 29, ת""ד 14 אגף הרווחה, אילת 88000",,,"08-6367106
08-6367891
08-6367892",frida@eilat.muni.il,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים,,,"[""recgvSxqri9tDIb0Z"", ""recAGtSSjFT71PdKE"", ""rech8T1dug2tqDtaZ"", ""recXgwjleCuuxX8En"", ""recUudU30cI6wMwwI""]",,,['https://www.gov.il/he/departments/molsa/govil-landing-page#אתר הבית\nhttps://www.yeadim.org/he/#אתר הבית'],[None],['0506223233'],['משרד הרווחה'],2025-10-05T00:24:35,1,"revaha:1000000###None###08-636710608-636789108-6367892###https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקהלשירותיםחברתיים###frida@eilat.muni.il###מרכזרסקו,אילות29,ת""ד14אגףהרווחה,אילת88000###מרכזרסקו,אילות29,ת""ד14אגףהרווחה,אילת88000###['recwLkZjOQwyBl2RW']###מחלקתרווחה###['recgvSxqri9tDIb0Z','recAGtSSjFT71PdKE','rech8T1dug2tqDtaZ','recXgwjleCuuxX8En','recUudU30cI6wMwwI']###revaha###ACTIVE"
recT685zz20PZNF8V,revaha:1020000,New,,2023-09-29T00:04:37,revaha,ACTIVE,,"[""recwLkZjOQwyBl2RW""]",מחלקת רווחה,זלמן שניאור 10  (בית ספר יעלים לשעבר) באר שבע 84341,זלמן שניאור 10  (בית ספר יעלים לשעבר) באר שבע 84341,,,"08-6463826
08-6463000
08-6840317
08-6840318",tehilaro@br7.org.il,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים,,,"[""recAGtSSjFT71PdKE"", ""rech8T1dug2tqDtaZ"", ""recXgwjleCuuxX8En"", ""recUudU30cI6wMwwI"", ""recgvSxqri9tDIb0Z""]",,,['https://www.gov.il/he/departments/molsa/govil-landing-page#אתר הבית\nhttps://www.yeadim.org/he/#אתר הבית'],[None],['0506223233'],['משרד הרווחה'],2025-10-05T00:24:35,1,"revaha:1020000###None###08-646382608-646300008-684031708-6840318###https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקהלשירותיםחברתיים###tehilaro@br7.org.il###זלמןשניאור10(ביתספריעליםלשעבר)בארשבע84341###זלמןשניאור10(ביתספריעליםלשעבר)בארשבע84341###['recwLkZjOQwyBl2RW']###מחלקתרווחה###['recAGtSSjFT71PdKE','rech8T1dug2tqDtaZ','recXgwjleCuuxX8En','recUudU30cI6wMwwI','recgvSxqri9tDIb0Z']###revaha###ACTIVE"
recI4DLRsbgZGOuAC,revaha:1020010,New,,2023-09-29T00:04:37,revaha,ACTIVE,,"[""recwLkZjOQwyBl2RW""]",מחלקת רווחה,"הנרייטה סולד 8 ב' קומות 6-7, רסקו סיטי, ת""ד 15 עיריית באר שבע","הנרייטה סולד 8 ב' קומות 6-7, רסקו סיטי, ת""ד 15 עיריית באר שבע",,,"08-6840317
08-6206301",lilachs@br7.org.il,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים,,,"[""recgvSxqri9tDIb0Z"", ""recAGtSSjFT71PdKE"", ""rech8T1dug2tqDtaZ"", ""recXgwjleCuuxX8En"", ""recUudU30cI6wMwwI""]",,,['https://www.gov.il/he/departments/molsa/govil-landing-page#אתר הבית\nhttps://www.yeadim.org/he/#אתר הבית'],[None],['0506223233'],['משרד הרווחה'],2025-10-05T00:24:35,1,"revaha:1020010###None###08-684031708-6206301###https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקהלשירותיםחברתיים###lilachs@br7.org.il###הנרייטהסולד8ב'קומות6-7,רסקוסיטי,ת""ד15עירייתבארשבע###הנרייטהסולד8ב'קומות6-7,רסקוסיטי,ת""ד15עירייתבארשבע###['recwLkZjOQwyBl2RW']###מחלקתרווחה###['recgvSxqri9tDIb0Z','recAGtSSjFT71PdKE','rech8T1dug2tqDtaZ','recXgwjleCuuxX8En','recUudU30cI6wMwwI']###revaha###ACTIVE"
recUbWRsqLa2RWYtK,revaha:1020020,New,,2023-09-29T00:04:37,revaha,ACTIVE,,"[""recwLkZjOQwyBl2RW""]",מחלקת רווחה,"דוד המלך 10, באר-שבע 84539, ת""ד 15 עיריית באר שבע","דוד המלך 10, באר-שבע 84539, ת""ד 15 עיריית באר שבע",,,"08-6840318
08-6206453",AvrahamB@br7.org.il,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים,,,"[""recgvSxqri9tDIb0Z"", ""recAGtSSjFT71PdKE"", ""rech8T1dug2tqDtaZ"", ""recXgwjleCuuxX8En"", ""recUudU30cI6wMwwI""]",,,['https://www.gov.il/he/departments/molsa/govil-landing-page#אתר הבית\nhttps://www.yeadim.org/he/#אתר הבית'],[None],['0506223233'],['משרד הרווחה'],2025-10-05T00:24:35,1,"revaha:1020020###None###08-684031808-6206453###https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקהלשירותיםחברתיים###AvrahamB@br7.org.il###דודהמלך10,באר-שבע84539,ת""ד15עירייתבארשבע###דודהמלך10,באר-שבע84539,ת""ד15עירייתבארשבע###['recwLkZjOQwyBl2RW']###מחלקתרווחה###['recgvSxqri9tDIb0Z','recAGtSSjFT71PdKE','rech8T1dug2tqDtaZ','recXgwjleCuuxX8En','recUudU30cI6wMwwI']###revaha###ACTIVE"
rec8hXGwB828GNCQq,revaha:1050000,New,,2023-09-29T00:04:37,revaha,ACTIVE,,"[""recwLkZjOQwyBl2RW""]",מחלקת רווחה,"שדרות הנשיא, ת""ד 1, דימונה  86000","שדרות הנשיא, ת""ד 1, דימונה  86000",,,"08-6563108
073-2756180
08-6563108",nehama@Dimona.muni.il,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים,,,"[""recgvSxqri9tDIb0Z"", ""recAGtSSjFT71PdKE"", ""rech8T1dug2tqDtaZ"", ""recXgwjleCuuxX8En"", ""recUudU30cI6wMwwI""]",,,['https://www.gov.il/he/departments/molsa/govil-landing-page#אתר הבית\nhttps://www.yeadim.org/he/#אתר הבית'],[None],['0506223233'],['משרד הרווחה'],2025-10-05T00:24:35,1,"revaha:1050000###None###08-6563108073-275618008-6563108###https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקהלשירותיםחברתיים###nehama@Dimona.muni.il###שדרותהנשיא,ת""ד1,דימונה86000###שדרותהנשיא,ת""ד1,דימונה86000###['recwLkZjOQwyBl2RW']###מחלקתרווחה###['recgvSxqri9tDIb0Z','recAGtSSjFT71PdKE','rech8T1dug2tqDtaZ','recXgwjleCuuxX8En','recUudU30cI6wMwwI']###revaha###ACTIVE"
recp5jdgigpytdUNh,revaha:1060000,New,,2023-09-29T00:04:37,revaha,ACTIVE,,"[""recwLkZjOQwyBl2RW""]",מחלקת רווחה,"הזית 42, קרית גת  82000","הזית 42, קרית גת  82000",,,"08-6874511
08-6874687
08-6874651",ronitz@qiryat-gat.muni.il,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים,,,"[""recgvSxqri9tDIb0Z"", ""recAGtSSjFT71PdKE"", ""rech8T1dug2tqDtaZ"", ""recXgwjleCuuxX8En"", ""recUudU30cI6wMwwI""]",,,['https://www.gov.il/he/departments/molsa/govil-landing-page#אתר הבית\nhttps://www.yeadim.org/he/#אתר הבית'],[None],['0506223233'],['משרד הרווחה'],2025-10-05T00:24:35,1,"revaha:1060000###None###08-687451108-687468708-6874651###https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקהלשירותיםחברתיים###ronitz@qiryat-gat.muni.il###הזית42,קריתגת82000###הזית42,קריתגת82000###['recwLkZjOQwyBl2RW']###מחלקתרווחה###['recgvSxqri9tDIb0Z','recAGtSSjFT71PdKE','rech8T1dug2tqDtaZ','recXgwjleCuuxX8En','recUudU30cI6wMwwI']###revaha###ACTIVE"
rec2th0NOIFtpP4hR,revaha:1200000,New,,2023-09-29T00:04:37,revaha,ACTIVE,,"[""recwLkZjOQwyBl2RW""]",מחלקת רווחה,"יהודה הלוי 18 ת""ד 1, אופקים  80300","יהודה הלוי 18 ת""ד 1, אופקים  80300",,,"08-9928555
08-9928500",SuzyM@ofaqim.muni.ill,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים,,,"[""recgvSxqri9tDIb0Z"", ""recAGtSSjFT71PdKE"", ""rech8T1dug2tqDtaZ"", ""recXgwjleCuuxX8En"", ""recUudU30cI6wMwwI""]",,,['https://www.gov.il/he/departments/molsa/govil-landing-page#אתר הבית\nhttps://www.yeadim.org/he/#אתר הבית'],[None],['0506223233'],['משרד הרווחה'],2025-10-05T00:24:35,1,"revaha:1200000###None###08-992855508-9928500###https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקהלשירותיםחברתיים###SuzyM@ofaqim.muni.ill###יהודההלוי18ת""ד1,אופקים80300###יהודההלוי18ת""ד1,אופקים80300###['recwLkZjOQwyBl2RW']###מחלקתרווחה###['recgvSxqri9tDIb0Z','recAGtSSjFT71PdKE','rech8T1dug2tqDtaZ','recXgwjleCuuxX8En','recUudU30cI6wMwwI']###revaha###ACTIVE"
recuuRnTvI5RhHNWH,revaha:1230000,New,,2023-09-29T00:04:37,revaha,ACTIVE,,"[""recwLkZjOQwyBl2RW""]",מחלקת רווחה,"מועצה מקומית ת""ד1, בוכריס כדיר, ירוחם  80500","מועצה מקומית ת""ד1, בוכריס כדיר, ירוחם  80500",,,"08-6598222
08-6580697",yaakovy@ylc.org.il,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים,,,"[""recgvSxqri9tDIb0Z"", ""recAGtSSjFT71PdKE"", ""rech8T1dug2tqDtaZ"", ""recXgwjleCuuxX8En"", ""recUudU30cI6wMwwI""]",,,['https://www.gov.il/he/departments/molsa/govil-landing-page#אתר הבית\nhttps://www.yeadim.org/he/#אתר הבית'],[None],['0506223233'],['משרד הרווחה'],2025-10-05T00:24:35,1,"revaha:1230000###None###08-659822208-6580697###https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקהלשירותיםחברתיים###yaakovy@ylc.org.il###מועצהמקומיתת""ד1,בוכריסכדיר,ירוחם80500###מועצהמקומיתת""ד1,בוכריסכדיר,ירוחם80500###['recwLkZjOQwyBl2RW']###מחלקתרווחה###['recgvSxqri9tDIb0Z','recAGtSSjFT71PdKE','rech8T1dug2tqDtaZ','recXgwjleCuuxX8En','recUudU30cI6wMwwI']###revaha###ACTIVE"
recdeNxuA1t2eCs2B,revaha:1250000,New,,2023-09-29T00:04:37,revaha,ACTIVE,,"[""recwLkZjOQwyBl2RW""]",מחלקת רווחה,"רמב""ם 1, נתיבות 80200","רמב""ם 1, נתיבות 80200",,,"08-9938711
08-9930142
08-9930139
08-9930140",natali@netivot.muni.il,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים,,,"[""recgvSxqri9tDIb0Z"", ""recAGtSSjFT71PdKE"", ""rech8T1dug2tqDtaZ"", ""recXgwjleCuuxX8En"", ""recUudU30cI6wMwwI""]",,,['https://www.gov.il/he/departments/molsa/govil-landing-page#אתר הבית\nhttps://www.yeadim.org/he/#אתר הבית'],[None],['0506223233'],['משרד הרווחה'],2025-10-05T00:24:35,1,"revaha:1250000###None###08-993871108-993014208-993013908-9930140###https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקהלשירותיםחברתיים###natali@netivot.muni.il###רמב""ם1,נתיבות80200###רמב""ם1,נתיבות80200###['recwLkZjOQwyBl2RW']###מחלקתרווחה###['recgvSxqri9tDIb0Z','recAGtSSjFT71PdKE','rech8T1dug2tqDtaZ','recXgwjleCuuxX8En','recUudU30cI6wMwwI']###revaha###ACTIVE"
recH2D8HGLvvaQ5SC,revaha:1270000,New,,2023-09-29T00:04:37,revaha,ACTIVE,,"[""recwLkZjOQwyBl2RW""]",מחלקת רווחה,"כיכר הנשיא 1,מרכז מסחרי, שדרות  80100","כיכר הנשיא 1,מרכז מסחרי, שדרות  80100",,,"08-6620222
08-6620301",Ygalevi@gmail.com,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקה לשירותים חברתיים,,,"[""recgvSxqri9tDIb0Z"", ""recAGtSSjFT71PdKE"", ""rech8T1dug2tqDtaZ"", ""recXgwjleCuuxX8En"", ""recUudU30cI6wMwwI""]",,,['https://www.gov.il/he/departments/molsa/govil-landing-page#אתר הבית\nhttps://www.yeadim.org/he/#אתר הבית'],[None],['0506223233'],['משרד הרווחה'],2025-10-05T00:24:35,1,"revaha:1270000###None###08-662022208-6620301###https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list?skip=0#מחלקהלשירותיםחברתיים###Ygalevi@gmail.com###כיכרהנשיא1,מרכזמסחרי,שדרות80100###כיכרהנשיא1,מרכזמסחרי,שדרות80100###['recwLkZjOQwyBl2RW']###מחלקתרווחה###['recgvSxqri9tDIb0Z','recAGtSSjFT71PdKE','rech8T1dug2tqDtaZ','recXgwjleCuuxX8En','recUudU30cI6wMwwI']###revaha###ACTIVE"
