id,name,synonyms,breadcrumbs,count,score
human_situations:age_group,קבוצת גיל,,,7277,7277
human_situations:age_group:adults,מבוגרים,מבוגרות,קבוצת גיל,924,924
human_situations:age_group:children,ילדים,ילדות,קבוצת גיל,2178,2178
human_situations:age_group:infants,הגיל הרך,"פעוטות
תינוקות
פעוטון
מעון",קבוצת גיל,1394,1394
human_situations:age_group:seniors,אזרחים ותיקים,"הגיל השלישי
זקנים
קשישים
גיל הזהב
ישישים
סבא
סבתא
אזרחות ותיקות",קבוצת גיל,2321,2321
human_situations:age_group:teens,נוער,"תיכוניסטים
נערים
נערות",קבוצת גיל,2605,2605
human_situations:age_group:young_adults,צעירים,צעירות,קבוצת גיל,2030,2030
human_situations:armed_forces,אנשי צבא וביטחון,"מילואים
מילואימניקים
משטרה
נשות צבא וביטחון
מילואימניקיות",,249,249
human_situations:armed_forces:active_duty,משרתי צבא סדיר,"חיילים
חיילות
משרתות צבא סדיר",אנשי צבא וביטחון,104,104
human_situations:armed_forces:bereaved_families,משפחות שכולות,"חללים
נרצחים 
טרור 
איבה
ששכלו 
שכולה",אנשי צבא וביטחון,42,42
human_situations:armed_forces:ex_soldiers,חיילים משוחררים,חיילות משוחררות,אנשי צבא וביטחון,19,19
human_situations:armed_forces:injured_while_on_duty,"נכי צה""ל","נכות צה""ל",אנשי צבא וביטחון,75,75
human_situations:armed_forces:professional_duty,משרתי צבא קבע,משרתות צבא קבע,אנשי צבא וביטחון,52,52
human_situations:armed_forces:reserves,משרתי מילואים,"מילואימניקים
משרתות מילואים",אנשי צבא וביטחון,60,60
human_situations:benefit_holders,מקבלי קצבאות והטבות,"מקבלי קצבאות
מקבלות קצבאות",,730,730
human_situations:benefit_holders:social_security,מוכרות מביטוח לאומי,"מקבלי קצבאות הביטוח הלאומי
מקבלות קצבאות הביטוח הלאומי",מקבלי קצבאות והטבות,314,314
human_situations:benefit_holders:social_security:disability,מקבלי קצבאת נכות,"נכים
מקבלות קצבאת נכות
קצבת נכות

",מקבלי קצבאות והטבות/מוכרות מביטוח לאומי,8,8
human_situations:benefit_holders:social_security:income_security,מקבלי הבטחת הכנסה,"השלמת הכנסה
מקבלות הבטחת הכנסה",מקבלי קצבאות והטבות/מוכרות מביטוח לאומי,16,16
human_situations:citizenship,אזרחות ותושבות,,,354,354
human_situations:citizenship:foreign_residents,תושבי חוץ,תושבות חוץ,אזרחות ותושבות,2,2
human_situations:citizenship:foreign_workers,מהגרי עבודה,"מהגרים
מהגרות
מהגרות עבודה",אזרחות ותושבות,4,4
human_situations:citizenship:olim,עולים,עולות,אזרחות ותושבות,322,322
human_situations:citizenship:refugees,פליטים," מבקשי מקלט
מבקשות מקלט
פליטות",אזרחות ותושבות,29,29
human_situations:citizenship:statusless,מחוסרי מעמד,"חסרי מעמד
סודנים
דרפורדארפור
אריתראים
פליטים
פלסטינים
פלשטינאים
שוהים בלתי חוקיים
מחוסרות מעמד",אזרחות ותושבות,5,5
human_situations:community,קהילה,,,217,217
human_situations:community:activists,פעילים חברתיים,פעילות חברתיות,קהילה,66,66
human_situations:community:leaders,מנהיגות קהילתית,,קהילה,196,196
human_situations:criminal_history,פשיעה,,,62,62
human_situations:criminal_history:ex_offenders,בעלי עבר פלילי,"פושעים
עבריינים
בעלות עבר פלילי",פשיעה,14,14
human_situations:criminal_history:ex_offenders_youth,נוער בעל עבר פלילי,"נוער עבריין
נוער בסיכון",פשיעה,20,20
human_situations:criminal_history:prisoners,אסירים,אסירות,פשיעה,5,5
human_situations:deprivation,רקע אישי,"חסכים
",,1998,1998
human_situations:deprivation:geographical_periphery,אנשים מפריפריה גיאוגרפית,נשים מפריפריה גיאוגרפית,רקע אישי,162,162
human_situations:deprivation:social_periphary,אנשים מפריפריה חברתית,נשים מפריפריה חברתית,רקע אישי,80,80
human_situations:disability,מוגבלויות,"נכים 
נכויות
נכות",,4702,4702
human_situations:disability:autistic_spectrum,אוטיסטים,"אוטיזם
אספרגר
על הרצף
הרצף האוטיסטי
הספקטרום
אוטיסטיות",מוגבלויות,371,371
human_situations:disability:deaf_or_hard_of_hearing,בעלי חרשות או שמיעה מוגבלת,"חירשים
כבדי שמיעה
",מוגבלויות,87,87
human_situations:disability:intellectual_disability,בעלי מוגבלות שכלית והתפתחותית,"פיגור
מפגרים
מש""ה
מוש""ה
תסמונת דאון
",מוגבלויות,817,817
human_situations:disability:learning_disability,בעלי קשיי למידה,,מוגבלויות,63,63
human_situations:disability:learning_disability:add_adhd,בעלי הפרעות קשב וריכוז,"הפרעת קשב וריכוז
קשב וריכוז
צרכים מיוחדים
",מוגבלויות/בעלי קשיי למידה,19,19
human_situations:disability:limited_mobility,בעלי מוגבלות בתנועה,"נכים
נכות",מוגבלויות,66,66
human_situations:disability:mental_illness,מתמודדי נפש,"משוגעים
חולי נפש
מתמודדות נפש
נפגעי נפש
מחלות נפש",מוגבלויות,1287,1287
human_situations:disability:physical_disability,אנשים עם מוגבלות פיזית,"נכים
נכות
נשים עם מוגבלות פיזית",מוגבלויות,47,47
human_situations:disability:visual_impairment,בעלי ליקוי ראיה,"עיוורים
כבדי ראיה
עיוורון
עיוורות",מוגבלויות,105,105
human_situations:education,חינוך,,,729,729
human_situations:education:dropouts,נושרים ממערכת החינוך,נושרות ממערכת החינוך,חינוך,40,40
human_situations:education:gifted_students,ילדים מחוננים,ילדות מחוננות,חינוך,16,16
human_situations:education:special_needs,בעלי צרכים מיוחדים,,חינוך,210,210
human_situations:education:students,סטודנטים,"סטודנטים
סטודנטיות",חינוך,162,162
human_situations:education:yeshiva_students,תלמידי ישיבה,,חינוך,283,283
human_situations:employment,תעסוקה,,,131,131
human_situations:employment:employed,שכירים,שכירות,תעסוקה,42,42
human_situations:employment:retirement,אנשים בגמלאות,"גמלאים
פנסיונרים
נשים בגמלאות
פנסיונריות
",תעסוקה,2,2
human_situations:employment:self_employed,עצמאים,"עצמאיים
עצמאיות",תעסוקה,51,51
human_situations:employment:unemployed,מובטלים,מובטלות,תעסוקה,32,32
human_situations:gender,מגדר,,,710,710
human_situations:gender:men,גברים בלבד,גברים,מגדר,286,286
human_situations:gender:transgender,טרנסג'נדר,"טרנסים
טראנסג'נדרים
טרנס
שינוי מין
טרנסיות
",מגדר,18,18
human_situations:gender:women,נשים בלבד,"נשים
",מגדר,412,412
human_situations:health,מצבים בריאותיים,"חולים
חולות",,565,565
human_situations:health:chronic_illness,חולים כרוניים,חולות כרוניות,מצבים בריאותיים,31,31
human_situations:health:endocrine_nutritional_or_metabolic_diseases,חולי מחלות אנדוקריניות,חולות מחלות אנדוקריניות,מצבים בריאותיים,2,2
human_situations:health:endocrine_nutritional_or_metabolic_diseases:type_1_diabetes,חולי סכרת נעורים,חולות סכרת נעורים,מצבים בריאותיים/חולי מחלות אנדוקריניות,1,1
human_situations:health:endocrine_nutritional_or_metabolic_diseases:type_2_diabetes,חולי סכרת,"סוכרת
חולות סכרת",מצבים בריאותיים/חולי מחלות אנדוקריניות,1,1
human_situations:health:fertility,בעיות פוריות,"טיפולי פוריות
הפריה",מצבים בריאותיים,3,3
human_situations:health:genetic_disorder,חולים במחלה גנטית,חולות במחלה גנטית,מצבים בריאותיים,1,1
human_situations:health:infectious_disease,מחלה מדבקת,,מצבים בריאותיים,3,3
human_situations:health:infectious_disease:hiv_aids,חולי איידס,"HIV
חולות איידס",מצבים בריאותיים/מחלה מדבקת,3,3
human_situations:health:neoplasm,חולי סרטן,חולות סרטן,מצבים בריאותיים,62,62
