key,id,source,status,name,organization,operating_unit,location,address,address_details,description,phone_numbers,email_address,urls,manual_url,situations,services
recFQIoks8Q67JfGt,shil:408599,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - קדימה צורן","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""rec4JKAJ2PvuVZrfM""]","דרך לב השרון 1, קדימה-צורן",בתוך מרכז העסקים,יום ד': 16:00-19:00.יש לתאם מראש.,[],shilkz2022@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-kadima-tzoran"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - קדימה צורן""}]",,,"[""recmXcYeVDjJftAUR""]"
recr2oXA2gfUBg0bL,shil:408603,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - תל מונד","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""reckv3gKbe8LsEjIX""]","הדקל 45, תל מונד",,"יום ב': 16:00-19:00.

רצוי לתאם מראש.","[""09-777-4169""]",shil@tel-mond.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-tel-mond"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - תל מונד""}]",,,"[""recmXcYeVDjJftAUR""]"
recZpiHq9bEcGjDbj,shil:408591,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - אבן יהודה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recYqf1d7vugGfGRc""]","המחתרת 57, אבן יהודה",בתוך מועדון הסביום,"יום ב': 16:00-19:00

רצוי לתאם מראש.","[""09-767-9868""]",shil@even-yehuda.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-even-yehuda"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - אבן יהודה""}]",,,"[""recmXcYeVDjJftAUR""]"
rec5kQYyKUEwWFt6i,shil:196989,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - אור יהודה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recFj63fgRscfuUPa""]","אליהו סעדון 87, אור יהודה",במגדלור,"ימים א', ב', ג', ד', ה': 09:00-14:00","[""073-338-8473""]",shill@or-ye.org.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-or-yehuda"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - אור יהודה""}]",,,"[""recmXcYeVDjJftAUR""]"
recW7yJCcG3rIdCab,shil:132393,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - אור עקיבא","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recx4PvI1Ei9jzODF""]","שדרות דוד המלך 515, אור עקיבא",,"יום א' 09:30-13:30 

יום ב' 09:30-14:00

יום ג' 09:30-13:30

יום ד' 10:00-12:00, 15:30-18:00

יום ה' 09:30-13:30","[""04-626-1533"", ""04-626-1353""]",shil.orakiva@outlook.co.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-or-akiva"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - אור עקיבא""}]",,,"[""recmXcYeVDjJftAUR""]"
reccJJb2iELAPifY4,shil:132394,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - אור עקיבא שכונת אורות","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recww7lSF9rUjbPvu""]","דוד המלך 515, אור עקיבא",שכונת אורות,"יום ד': 10:00-12:00  

התחנה פתוחה לקבלת קהל על פי התו הסגול","[""04-626-4147""]",shil.orakiva@outlook.co.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/-molsa-consultation-service-or-akiva-orot"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - אור עקיבא שכונת אורות""}]",,,"[""recmXcYeVDjJftAUR""]"
recVhw3RtzVQusEVm,shil:214391,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - אילת","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recVTrtoewienrySg""]","השחם 5, אילת",מרכז לקהילה והתנדבות,"ימים ב', ה': 10:00 עד 12:00

יום ג': 17:00 עד 19:00

יש לתאם הגעה מראש","[""08-636-7122""]",shileilat@eilat.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-eilat"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - אילת""}]",,,"[""recmXcYeVDjJftAUR""]"
rec32sjZWu8ims0Ms,shil:132396,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - אלעד","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recX7Aqs3awyfclbl""]","חוני המעגל 32, אלעד",קומה 1,"ימים א', ב', ג', ה' - 9:00-12:00 (בתיאום מראש)

יום ג' - 17:00-19:00 (בתיאום מראש)","[""03-659-4000""]",rotemh@elad.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-or-elad"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - אלעד""}]",,,"[""recmXcYeVDjJftAUR""]"
recSG3TD3Ph2cdBD5,shil:132397,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - אלפי מנשה","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recjP2PmWuSRHf544""]","גלבוע 116, אלפי מנשה","ד.נ. לב השומרון, 44851, בניין המועצה (ליד הגזברות)",יום ג': 17:00-19:00,"[""09-953-8248""]",esterg@alfe-menashe.muni.il,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-alfey-menashe"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - אלפי מנשה""}]",,,"[""recmXcYeVDjJftAUR""]"
recaJk0fhSybfz0ex,shil:132398,entities,ACTIVE,"תחנת שירות ייעוץ לאזרח (שי""ל) - אריאל","[""recKH146ArlmDMotW""]",תחנת שירות ייעוץ לאזרח - שי״ל,"[""recKSNtYlwUet7SyA""]","הארז 1, אריאל",מקלט מספר 14,"ימים א', ב': 18:00-20:00","[""052-893-4949""]",shil.ariel@gmail.com,"[{""href"": ""https://www.gov.il/he/departments/bureaus/molsa-consultation-service-ariel"", ""title"": ""תחנת שירות ייעוץ לאזרח (שי\""ל) - אריאל""}]",,,"[""recmXcYeVDjJftAUR""]"
