key,id,status,provider,accuracy,alternate_address,resolved_lat,resolved_lon,resolved_address,resolved_city,fixed_lat,fixed_lon,national_service,location_accurate,lat,lon,geometry,address
recRleuvhYVB4dNqq,5R92+X6 Herzliya,VALID,google,ROOFTOP,,32.1699375,34.8005625,5R92+X6 Herzliya,הרצליה,,,False,True,32.1699375,34.8005625,"34.8005625, 32.1699375",5R92+X6 Herzliya
rec5oFijZG2OV37kW,5RH4+WF Herzliya,VALID,google,ROOFTOP,,32.1798125,34.8061875,5RH4+WF Herzliya,הרצליה,,,False,True,32.1798125,34.8061875,"34.8061875, 32.1798125",5RH4+WF Herzliya
recShfvfro7AAFtPh,8W9V+5J Kfar Yona,VALID,google,ROOFTOP,,32.3179375,34.9440625,8W9V+5J Kfar Yona,כפר יונה,,,False,True,32.3179375,34.9440625,"34.9440625, 32.3179375",8W9V+5J Kfar Yona
recE1UJubGhL3x7Rk,FVMR+G4 Sdot Yam,VALID,google,ROOFTOP,,32.4838125,34.8903125,FVMR+G4 Sdot Yam,קיסריה,,,False,True,32.4838125,34.8903125,"34.8903125, 32.4838125",FVMR+G4 Sdot Yam
rec9Ozwc1KbCN3yQK,G46W+W5F Umm al-Fahm,VALID,google,ROOFTOP,,32.5123125,35.1454219,G46W+W5F Umm al-Fahm,אום אל-פחם,,,False,True,32.5123125,35.1454219,"35.1454219, 32.5123125",G46W+W5F Umm al-Fahm
recFdII222I4jpNcD,Q6MF+59 ירושלים,VALID,google,ROOFTOP,,31.7829375,35.2234375,Q6MF+59 ירושלים,ירושלים,,,False,True,31.7829375,35.2234375,"35.2234375, 31.7829375",Q6MF+59 ירושלים
rec3BuZp0sWVLwunV,Q57F+FV Harduf,VALID,google,ROOFTOP,,32.7636875,35.1746875,Q57F+FV Harduf,הרדוף,,,False,True,32.7636875,35.1746875,"35.1746875, 32.7636875",Q57F+FV Harduf
recO3iH4f2dcvgrHp,Q589+4C Harduf,VALID,google,ROOFTOP,,32.7653125,35.1685625,Q589+4C Harduf,הרדוף,,,False,True,32.7653125,35.1685625,"35.1685625, 32.7653125",Q589+4C Harduf
recNzcwwhz3YtB4O8,Q637+22 Jerusalem,VALID,google,ROOFTOP,,31.7525625,35.2125625,Q637+22 Jerusalem,ירושלים,,,False,True,31.7525625,35.2125625,"35.2125625, 31.7525625",Q637+22 Jerusalem
recrmPaOXFyiSmzPL,R43R+VJC Kiryat Ata,VALID,google,ROOFTOP,,32.8046875,35.1415156,R43R+VJC Kiryat Ata,קרית אתא,,,False,True,32.8046875,35.1415156,"35.1415156, 32.8046875",R43R+VJC Kiryat Ata
recqFoKFp8RSYudcj,R473+33V Kiryat Ata,VALID,google,ROOFTOP,,32.8127375,35.1026719,R473+33V Kiryat Ata,קרית אתא,,,False,True,32.8127375,35.1026719,"35.1026719, 32.8127375",R473+33V Kiryat Ata
rec2DtrfLlgW8wLNt,RJ2Q+J9 Ashdod,VALID,google,ROOFTOP,,31.8015625,34.63843749999999,RJ2Q+J9 Ashdod,אשדוד,,,False,True,31.8015625,34.63843749999999,"34.63843749999999, 31.8015625",RJ2Q+J9 Ashdod
recB54tBqloW0MPtV,VPHV+V7 יבנה,VALID,google,ROOFTOP,,31.8796875,34.7431875,VPHV+V7 יבנה,יבנה,,,False,True,31.8796875,34.7431875,"34.7431875, 31.8796875",VPHV+V7 יבנה
recIptGqXFsDwAs36,VQPR+XP Rehovot,VALID,google,ROOFTOP,,31.8874375,34.7918125,VQPR+XP Rehovot,רחובות,,,False,True,31.8874375,34.7918125,"34.7918125, 31.8874375",VQPR+XP Rehovot
recChD5zWd8qS6vqS,VRF9+8G8 Rehovot,VALID,google,ROOFTOP,,31.8732875,34.8188281,VRF9+8G8 Rehovot,רחובות,,,False,True,31.8732875,34.8188281,"34.8188281, 31.8732875",VRF9+8G8 Rehovot
recNcP1rsJuCUEdK3,W76W+89 Karmiel,VALID,google,ROOFTOP,,32.9108125,35.2959375,W76W+89 Karmiel,כרמיאל,,,False,True,32.9108125,35.2959375,"35.2959375, 32.9108125",W76W+89 Karmiel
reck8JsizO8a07hv0,"א נתר 13 , ירושלים",VALID,google,RANGE_INTERPOLATED,,31.7492744,35.2036487,"א נתר 13, ירושלים",ירושלים,,,False,True,31.7492744,35.2036487,"35.2036487, 31.7492744","א נתר 13, ירושלים"
recXQFKR6suNjDhPD,"א-סלאם 16, נצרת",VALID,google,RANGE_INTERPOLATED,,32.7044337,35.3021158,"דרך א סלאם 16, נצרת",נצרת,,,False,True,32.7044337,35.3021158,"35.3021158, 32.7044337","דרך א סלאם 16, נצרת"
rec15szrcRiqlmBE6,א. אהרון דיור נתניה,VALID,google,GEOMETRIC_CENTER,,32.3230545,34.861469,"אהרון אהרונסון, נתניה",נתניה,,,False,False,32.3230545,34.861469,"34.861469, 32.3230545","אהרון אהרונסון, נתניה"
recSNbJhVFuPazyed,א.ב שיקום מרכז 2010,VALID,google,ROOFTOP,,32.3174999,34.8775051,"השיש 32, נתניה",נתניה,,,False,True,32.3174999,34.8775051,"34.8775051, 32.3174999","השיש 32, נתניה"
recIv8gze95NHENNQ,א.ב. שיקום - נתניה 1997,VALID,google,ROOFTOP,,32.3174999,34.8775051,"השיש 32, נתניה",נתניה,,,False,True,32.3174999,34.8775051,"34.8775051, 32.3174999","השיש 32, נתניה"
recs3gDHpmX4fZrhU,א.ג. דיור רעננה,VALID,google,APPROXIMATE,,32.184781,34.871326,רעננה,רעננה,,,False,False,32.184781,34.871326,"34.871326, 32.184781",רעננה
recS769Zy3nsqq9oP,א.נ.מ.נ מוריה - מרכז גריאטרי,VALID,google,APPROXIMATE,,31.9521108,34.906551,מחוז המרכז,לוד,,,False,False,31.9521108,34.906551,"34.906551, 31.9521108",מחוז המרכז
recS00jjgYw417omp,א.ש. ייבוא ושיווק כסאות גלגלים,VALID,google,ROOFTOP,,32.0112441,34.8016765,"הבנאי 29, חולון",חולון,,,False,True,32.0112441,34.8016765,"34.8016765, 32.0112441","הבנאי 29, חולון"
recLPuPsDMJjHVpyI,א.ש. סיעוד ורווחה,VALID,google,ROOFTOP,,32.0869841,34.8041671,"החילזון 4, רמת גן",רמת גן,,,False,True,32.0869841,34.8041671,"34.8041671, 32.0869841","החילזון 4, רמת גן"
rec1dbzsfdqYBPbKV,א.ש.ק. השקעות,VALID,google,ROOFTOP,,32.0443848,34.7748413,"הקשת 26, תל אביב",תל אביב,,,False,True,32.0443848,34.7748413,"34.7748413, 32.0443848","הקשת 26, תל אביב"
recweokpygK8QwTfN,"אבא אחימאיר 18, תל אביב-יפו",VALID,govmap,ADDR_V1,,32.12460594091191,34.80171937532662,"אחימאיר אבא 18, תל אביב-יפו",תל אביב,,,False,True,32.12460594091191,34.80171937532662,"34.80171937532662, 32.12460594091191","אחימאיר אבא 18, תל אביב-יפו"
rectojcLJqTDPfBAJ,"אבא אחימאיר 26, תל אביב",VALID,govmap,ADDR_V1,,32.12388904981861,34.80365596233106,"אחימאיר אבא 26, תל אביב-יפו",תל אביב,,,False,True,32.12388904981861,34.80365596233106,"34.80365596233106, 32.12388904981861","אחימאיר אבא 26, תל אביב-יפו"
reckXTtwm7Hj4AfGS,"אבא הלל סילבר 15, לוד",VALID,govmap,ADDR_V1,,31.95982822783743,34.899464284547236,"סילבר אבא הלל 15, לוד",לוד,,,False,True,31.95982822783743,34.899464284547236,"34.899464284547236, 31.95982822783743","סילבר אבא הלל 15, לוד"
recYGckYOkCbVFCH4,"אבא הלל סילבר 15,, לוד",VALID,govmap,ADDR_V1,,31.95982822783743,34.899464284547236,"סילבר אבא הלל 15, לוד",לוד,,,False,True,31.95982822783743,34.899464284547236,"34.899464284547236, 31.95982822783743","סילבר אבא הלל 15, לוד"
recyA3YehiwvP4PbB,"אבא חלקיה 4, ירושלים",VALID,govmap,ADDR_V1,,31.760067441378002,35.20988299653304,"אבא חלקיה 4, ירושלים",ירושלים,,,False,True,31.760067441378002,35.20988299653304,"35.20988299653304, 31.760067441378002","אבא חלקיה 4, ירושלים"
