key,place,name,bounds,query,score
א_דווא,hamlet,"[""א-דווא""]","[35.3718696, 32.1340848, 35.3765795, 32.1384365]",א-דווא,10.248035915005715
א_זבאבדה,,"[""א-זבאבדה""]","[35.3146259, 32.3788434, 35.3321568, 32.3939799]",א-זבאבדה,26.535646784990227
א_זידאנה_אל_נסאסרה,hamlet,"[""א-זידאנה אל נסאסרה""]","[34.7365106, 31.3658372, 34.742804, 31.3707942]",א-זידאנה אל נסאסרה,15.598191899984513
א_זעיים_בדואים,hamlet,"[""א-זעיים בדואים""]","[35.2656578, 31.7929091, 35.2730082, 31.7989491]",א-זעיים בדואים,22.198208000008265
א_טובה,,"[""א-טובה""]","[35.1742235, 31.4060346, 35.1769658, 31.4083786]",א-טובה,0.6427951199995489
א_טייבה_א_זועביה_טייבה_בעמק,village,"[""א-טייבה א-זועביה"", ""טייבה (בעמק)""]","[35.4414363, 32.5985807, 35.4506031, 32.6082077]",א-טייבה א-זועביה,88.2487836000427
א_נג_אדה,,"[""א-נג׳אדה""]","[35.2033475, 31.403635, 35.2188192, 31.4122452]",א-נג׳אדה,13.321443133998718
א_רהניה,hamlet,"[""א-רהניה""]","[35.2420533, 31.6662813, 35.2447893, 31.6686151]",א-רהניה,3.19263839999693
א_ריפאעיה,,"[""א-ריפאעיה""]","[35.1504075, 31.4445993, 35.154721, 31.4502769]",א-ריפאעיה,2.449032760000536
אבו_אל_עסג_ה,,"[""אבו אל עסג׳ה""]","[35.0266447, 31.4305145, 35.0300069, 31.4321271]",אבו אל עסג׳ה,0.5421883719989535
אבו_ג_אמדה,,"[""אבו ג׳אמדה""]","[34.977804, 31.163401, 34.9833187, 31.1672751]",אבו ג׳אמדה,2.1364499270001347
אבו_ג_ווייעד,village,"[""אבו ג׳ווייעד""]","[35.0711767, 31.1791986, 35.0742294, 31.1818267]",אבו ג׳ווייעד,8.022800869991233
אבו_גוש,village,"[""אבו גוש""]","[35.0969829, 31.799384, 35.1225057, 31.8150518]",אבו גוש,399.8861258399397
אבו_דיס,town,"[""אבו דיס""]","[35.2517607, 31.7525337, 35.2740103, 31.7675942]",אבו דיס,1675.4505040002225
אבו_כיף,,"[""אבו כיף""]","[34.8787573, 31.2857351, 34.8856036, 31.2936423]",אבו כיף,5.413506336003944
אבו_סוחווילה,,"[""אבו סוחווילה""]","[34.9162379, 31.4538645, 34.9186042, 31.4554888]",אבו סוחווילה,0.3843581089996549
אבו_סולתן,hamlet,"[""אבו סולתן""]","[35.0581268, 32.1323846, 35.0602143, 32.1336857]",אבו סולתן,1.3580231250002988
אבו_סנאן,village,"[""אבו סנאן""]","[35.1506877, 32.9531492, 35.1837116, 32.9658314]",אבו סנאן,418.81570458005746
אבו_סנינא,hamlet,"[""אבו סנינא""]","[34.9547575, 32.1821397, 34.9567373, 32.1848162]",אבו סנינא,2.6494673500009074
אבו_סריחאן,hamlet,"[""אבו סריחאן""]","[34.876844, 31.2592746, 34.8890965, 31.2678052]",אבו סריחאן,52.26058825001211
אבו_עיסא,hamlet,"[""אבו עיסא""]","[34.8873668, 31.2938858, 34.8973367, 31.301791]",אבו עיסא,39.40702673997659
אבו_עמאר,village,"[""אבו עמאר""]","[34.9296137, 31.1374892, 34.97023, 31.1885085]",אבו עמאר,2072.2151945901824
אבו_עפאש,village,"[""אבו עפאש""]","[34.8054267, 31.1463954, 34.8121929, 31.165824]",אבו עפאש,131.4577933200332
אבו_קורינאת,village,"[""אבו קורינאת""]","[34.9481782, 31.0972795, 34.9590312, 31.1061561]",אבו קורינאת,96.33773979998372
אבו_קרינאת_אבו_קרינאת,village,"[""אבו קרינאת"", ""אבו-קרינאת""]","[34.9477863, 31.1328884, 34.9793919, 31.1499954]",אבו קרינאת,540.6769992001934
אבו_קש,,"[""אבו קש""]","[35.1789137, 31.9421604, 35.1889837, 31.9548343]",אבו קש,12.762617300001546
אבו_רוקייק,village,"[""אבו רוקייק""]","[34.8628788, 31.2593138, 34.865282, 31.2604309]",אבו רוקייק,2.684614719999731
אבו_שושא_בדואים,,"[""אבו שושא בדואים""]","[35.2525454, 31.8650439, 35.2573672, 31.8679591]",אבו שושא בדואים,1.4056511359986712
אבטליון,village,"[""אבטליון""]","[35.3469204, 32.8351716, 35.3521852, 32.8376532]",אבטליון,13.065127679975923
אביאל,village,"[""אביאל""]","[34.9848021, 32.5279361, 35.0002533, 32.5361322]",אביאל,126.63958031993945
אביבים,village,"[""אביבים""]","[35.4678548, 33.0866121, 35.4771238, 33.0911191]",אביבים,41.77538299998437
אביגדור,village,"[""אביגדור""]","[34.7348815, 31.7040439, 34.753485, 31.7156602]",אביגדור,216.10383704997201
אביחיל,village,"[""אביחיל""]","[34.8662883, 32.3451245, 34.8770634, 32.3570894]",אביחיל,128.9229939899837
אביטל,village,"[""אביטל""]","[35.301598, 32.5534494, 35.3127345, 32.5615373]",אביטל,90.07089834998911
אביעזר,village,"[""אביעזר""]","[35.0095326, 31.6788748, 35.0217945, 31.6846089]",אביעזר,70.31096079001061
אבירים,village,"[""אבירים""]","[35.2842208, 33.0359377, 35.2925313, 33.0418303]",אבירים,48.97045230002523
