id,name,synonyms
human_services:care,רווחה,לשכת רווחה
human_services:care:adoption_foster_care,אימוץ ואומנה,בית אומנה
human_services:care:recovery,שיקום ושילוב מחדש בחברה,"רשות לשיקום האסיר
השתלבות בחברה"
human_services:community_services:community_gardens,גינות קהילתיות,גינה קהילתית
human_services:community_services:olim_support,מוקדי קליטה,"תמיכה לעולים
סיוע לעולים"
human_services:community_services:recreation,פעילויות פנאי,"חוגים
פעילות חברתית
פעילויות הפוגה"
human_services:community_services:summer_camps,קייטנות,"קיטנה
קייטנה"
human_services:education:more_education:foreign_languages,לימודי שפות,"לימודי שפה
"
human_services:education:skills_training:basic_literacy,אוריינות,"קרוא וכתוב
קריאה
כתיבה
"
human_services:education:skills_training:computer_class,אוריינות דיגיטלית,שיעורי מחשבים
human_services:emergency,חירום,מצב חירום
human_services:emergency:emergency_shelter,מקלט ציבורי,"ממד
מרחב מוגן
מקלט"
human_services:food,מזון,"סיוע במזון
אוכל
סיוע באוכל"
human_services:food:food_delivery,סלי מזון,בית תמחוי
human_services:food:food_pantry,בתי תמחוי,"סיוע במזון
סלי מזון
קמחא דפסחא"
human_services:food:nutrition_education,חינוך והדרכה בנושאי תזונה,"תזונה
חינוך תזונתי
דיאטנית"
human_services:goods,ציוד,"חפצים
"
human_services:goods:home_goods,מוצרים לבית,"ציוד לבית
סיוע בציוד לבית"
human_services:health:end_of_life_care,טיפול תומך במצב סופני,"הוספיס
הוספיס ביתי
הוספיסים
פליאטיבי"
human_services:health:sexual_reproductive_health:std_sti_treatment_prevention:hiv_treatment,טיפול ב-HIV,"איידס
"
human_services:housing:emergency_shelter,דיור ואירוח חירומי,"אירוח, אירוח חירומי"
human_services:housing:residential_housing:long_term_housing,דיור מוסדי,"דיור חוץ ביתי
הוסטל
הוסטלים
פתרון דיור
פתרונות דיור"
human_services:housing:residential_housing:long_term_housing:hostel,הוסטל,הוסטלים
human_services:legal:advocacy_legal_aid,סיוע משפטי,"עזרה
משפטנים
משפטניות
גזענות
זכויות אדם עורך דין"
human_services:legal:advocacy_legal_aid:understand_government_programs,מיצוי זכויות,"בירוקרטיה
מימוש זכויות"
human_services:legal:advocacy_legal_aid:workplace_rights,זכויות עובדים,דיני עבודה
human_services:money,סיוע כלכלי,"עזרה פיננסית
כסף
"
human_services:money:financial_assistance,סיוע כספי,"עזרה פיננסית
עזרה כלכלית"
human_services:money:financial_assistance:help_pay_for_healthcare,גיוס כספי לשירותי בריאות,תרופות
human_services:money:loans,הלוואות,הלוואה
human_services:work:skills_training,הכשרה מקצועית,"קורס
קורסים"
human_services:work:skills_training:resume_development,כתיבת קורות חיים,"קו""ח"
human_services:care:accessibility,פתרונות נגישות,"כסאות גלגלים
רמפות
רמפה"
human_services:care:aid_center,מרכז סיוע,"מרכז מיצוי 
תמיכה"
human_services:care:early_childhood_intervention,אבחונים,"אבחון דידקטי
אבחון פסיכולוגי
אבחון פסיכודידקטי
אבחון לקויות למידה
אבחון קשב וריכוז
אבחון ילדים מחוננים
אבחון פסיכודיאגנוסטי
אבחון נוירופסיכולוגי
אבחון רגשי
אבחון קוגניטיבי
אבחון בשלות
אבחון הדלגה
הפרעת קשב וריכוז
ADHD
ADD
היפראקטיביות
אבחון
אבחון התפתחותי
אבחון לקויות למידה
אבחון פסיכודידקטי
אבחון קשב וריכוז
אבחון דידקטי
אבחון שפה ודיבור"
human_services:care:guidance,ליווי והדרכה,ייעוץ 
human_services:health:help_find_healthcare,ייעוץ והכוונה רפואיים,"סיוע במציאת טיפול רפואי
"
human_services:health:prevent_treat:in_home_support,סיוע בבית,"סיוע רפואי בבית
עזרה בבית
שיפוצים
מטב
מט""ב"
human_services:health:prevent_treat:pain_management,טיפול בכאב,רפואת כאב
human_services:health:prevent_treat:speech_therapy,קלינאות תקשורת,"קלינאית תקשורת
"
human_services:health:prevent_treat:vaccinations,חיסונים,חיסון
human_services:health:primary_care,רפואה דחופה,"עזרה ראשונה
"
human_services:housing:public_housing,דיור ציבורי,סיוע בשכר דירה
human_services:care:accessibility:translation,שפת סימנים,"מתרגם
תרגום"
human_services:education:more_education:army_readiness,הכנה לצבא,מכינות לצבא
human_services:legal:advocacy_legal_aid:financial_difficulties,הוצאה לפועל וחדלות פרעון,"פשיטת רגל
חובות
"
human_services:culture_and_sports:exercise_fitness,התעמלות וכושר,"מכוני כושר
"
human_services:health:prevent_treat:checkup_test:eye_tests,בדיקות ראייה,"בדיקת ראייה
עיניים
טיפול בעיניים
אופתלמולוגיה
אופטלמולוגיה 
אופטומטריסט
"
human_services:emergency:financial_aid_in_emergencies,סיוע כספי בחירום,"עזרה כספית
עזרה כלכלית"
human_services:internal_emergency_services,שירותים למצב החירום,طوارئ
human_services:care:mentoring,מנטורינג,"הכוונה אישית
חונכות "
human_services:care:one_on_one_support,תמיכה פרטנית,חונכות
human_services:education:integration_in_education,מסגרות משלבות,שילוב בחינוך
human_services:housing:short_term_housing:transit_flats,דירות מעבר,בתי מעבר
human_services:place:community:community_center,מרכז קהילתי,"מתנ""ס"
human_services:place:community:library,ספרייה,ספריה
human_services:place:religion:church,כנסייה,כנסיה
human_services:education:further_education:yeshiva_and_kollel,ישיבה וכולל,"ישיבת הסדר
ישיבות הסדר
בית מדרש
בתי מדרש"
human_services:health:emergency_mental_assistance,סיוע נפשי מיידי,"דיכאון 
טראומה
רגשי
עזרה ראשונה נפשית
פסיכולוג
סיוע נפשי דחוף"
