id,name,synonyms
human_situations:age_group:adults,מבוגרים,מבוגרות
human_situations:age_group:children,ילדים,ילדות
human_situations:age_group:infants,הגיל הרך,"פעוטות
תינוקות
פעוטון
מעון"
human_situations:age_group:seniors,אזרחים ותיקים,"הגיל השלישי
זקנים
קשישים
גיל הזהב
ישישים
סבא
סבתא
אזרחות ותיקות"
human_situations:age_group:teens,נוער,"תיכוניסטים
נערים
נערות"
human_situations:age_group:young_adults,צעירים,צעירות
human_situations:armed_forces,אנשי צבא וביטחון,"מילואים
מילואימניקים
משטרה
נשות צבא וביטחון
מילואימניקיות"
human_situations:armed_forces:active_duty,משרתי צבא סדיר,"חיילים
חיילות
משרתות צבא סדיר"
human_situations:armed_forces:bereaved_families,משפחות שכולות,"חללים
נרצחים 
טרור 
איבה
ששכלו 
שכולה"
human_situations:armed_forces:ex_soldiers,חיילים משוחררים,חיילות משוחררות
human_situations:armed_forces:injured_while_on_duty,"נכי צה""ל","נכות צה""ל"
human_situations:armed_forces:professional_duty,משרתי צבא קבע,משרתות צבא קבע
human_situations:armed_forces:reserves,משרתי מילואים,"מילואימניקים
משרתות מילואים"
human_situations:armed_forces:veterans,"גמלאי צה""ל","גמלאיות צה""ל"
human_situations:benefit_holders,מקבלי קצבאות והטבות,"מקבלי קצבאות
מקבלות קצבאות"
human_situations:benefit_holders:social_security,מוכרות מביטוח לאומי,"מקבלי קצבאות הביטוח הלאומי
מקבלות קצבאות הביטוח הלאומי"
human_situations:benefit_holders:social_security:disability,מקבלי קצבאת נכות,"נכים
מקבלות קצבאת נכות
קצבת נכות

"
human_situations:benefit_holders:social_security:income_security,מקבלי הבטחת הכנסה,"השלמת הכנסה
מקבלות הבטחת הכנסה"
human_situations:benefit_holders:social_security:nursing_care,מקבלי קצבת סיעוד,"מקבלי גמלת סיעוד
מקבלות קצבת סיעוד
מקבלות גמלת סיעוד
"
human_situations:benefit_holders:social_security:righteous_among_the_nations,חסידי אומות עולם,חסידות אומות עולם
human_situations:benefit_holders:social_security:ussr_veterans,וטרנים,וטרניות
human_situations:benefit_holders:social_security:zion_prisoners,אסירי ציון,אסירות ציון
human_situations:citizenship:citizens,בעלי אזרחות ישראלית,"אזרחים
אזרחי ישראל
אזרח ישראלי
בעלות אזרחות ישראלית"
human_situations:citizenship:foreign_residents,תושבי חוץ,תושבות חוץ
human_situations:citizenship:foreign_workers,מהגרי עבודה,"מהגרים
מהגרות
מהגרות עבודה"
human_situations:citizenship:foreign_workers:agriculture_and_building,מהגרי חקלאות ובנייה,"תאילנדים
מהגרות חקלאות ובנייה"
human_situations:citizenship:foreign_workers:experts,בעלי ויזת מומחה,בעלות ויזת מומחה
human_situations:citizenship:foreign_workers:nursing,מהגרים עובדים סיעודיים,"פיליפיניות
מהגרות עובדיות סיעודיות"
human_situations:citizenship:olim,עולים,עולות
human_situations:citizenship:palestinians_workers,עובדים פלסטינים,עובדי שטחים
human_situations:citizenship:refugees,פליטים," מבקשי מקלט
מבקשות מקלט
פליטות"
human_situations:citizenship:residents,תושבים (ללא אזרחות),"תושבים
תושבי קבע
בעלי א/5
תושבות"
human_situations:citizenship:statusless,מחוסרי מעמד,"חסרי מעמד
סודנים
דרפורדארפור
אריתראים
פליטים
פלסטינים
פלשטינאים
שוהים בלתי חוקיים
מחוסרות מעמד"
